Year,Level,Code,Income_avg,Income_median,Employed
2019,4,0010000,1127,842,322880
2019,4,0050000,779,642,36633
2019,4,0090000,1002,801,28146
2019,4,0110000,841,688,10402
2019,4,0130000,1089,771,24512
2019,4,0170000,867,698,31297
2019,4,0210000,818,663,12823
2019,4,0250000,988,823,11771
2019,4,0270000,999,807,16317
2019,4,0320201,915,765,3410
2019,4,0320244,888,714,485
2019,4,0321007,855,709,754
2019,4,0321027,657,583,28
2019,4,0321050,846,753,386
2019,4,0321078,727,616,368
2019,4,0321080,900,748,358
2019,4,0321084,846,767,151
2019,4,0321086,793,655,170
2019,4,0321413,884,736,1371
2019,4,0321442,813,620,281
2019,4,0321458,846,717,281
2019,4,0321492,829,684,248
2019,4,0326146,836,674,438
2019,4,0326154,744,597,202
2019,4,0326160,869,730,1719
2019,4,0327166,867,738,366
2019,4,0327170,801,649,636
2019,4,0327174,830,718,145
2019,4,0327196,744,640,207
2019,4,0328200,887,749,1484
2019,4,0360201,839,709,3133
2019,4,0360242,781,640,557
2019,4,0360244,686,489,155
2019,4,0360252,775,520,123
2019,4,0360256,747,613,363
2019,4,0360258,663,523,169
2019,4,0360260,817,679,165
2019,4,0360264,708,513,46
2019,4,0360268,653,550,238
2019,4,0360272,730,539,133
2019,4,0360274,726,508,203
2019,4,0360276,656,511,113
2019,4,0360280,601,462,170
2019,4,0360288,736,658,124
2019,4,0360294,631,525,126
2019,4,0360296,720,603,287
2019,4,0360805,763,646,346
2019,4,0360825,691,616,157
2019,4,0360848,733,608,346
2019,4,0360884,690,579,263
2019,4,0360890,801,628,246
2019,4,0380201,789,631,2759
2019,4,0380246,718,579,261
2019,4,0380248,619,502,160
2019,4,0380250,659,529,279
2019,4,0380252,765,583,183
2019,4,0380256,662,523,121
2019,4,0380258,742,576,485
2019,4,0380266,670,533,76
2019,4,0380286,776,625,332
2019,4,0380290,695,630,126
2019,4,0380294,719,562,161
2019,4,0381615,746,606,505
2019,4,0381660,665,550,69
2019,4,0381670,794,617,258
2019,4,0381678,812,602,159
2019,4,0381682,745,604,365
2019,4,0381692,713,587,147
2019,4,0381698,754,637,219
2019,4,0384400,736,608,343
2019,4,0387564,634,514,305
2019,4,0387574,701,569,508
2019,4,0400201,893,739,4060
2019,4,0400246,765,659,569
2019,4,0400250,846,718,801
2019,4,0400252,886,715,1120
2019,4,0400256,773,696,251
2019,4,0400260,853,739,1014
2019,4,0400268,845,685,1609
2019,4,0400272,822,679,598
2019,4,0400292,824,710,834
2019,4,0406400,971,791,4084
2019,4,0407776,823,679,816
2019,4,0407788,810,710,292
2019,4,0407796,796,651,344
2019,4,0409544,857,700,302
2019,4,0409562,827,704,230
2019,4,0409580,922,803,447
2019,4,0409584,839,731,326
2019,4,0409590,883,714,397
2019,4,0409594,883,739,1913
2019,4,0420201,925,755,7504
2019,4,0420290,865,728,601
2019,4,0421211,911,733,482
2019,4,0421262,857,698,1051
2019,4,0424742,867,677,279
2019,4,0424746,929,756,1075
2019,4,0424768,828,655,355
2019,4,0424778,740,542,251
2019,4,0424796,819,659,313
2019,4,0425756,814,656,753
2019,4,0425798,727,610,124
2019,4,0427360,811,726,1240
2019,4,0427364,820,741,322
2019,4,0427372,935,761,1915
2019,4,0427394,786,656,238
2019,4,0427574,888,694,631
2019,4,0427580,838,696,476
2019,4,0427582,847,678,558
2019,4,0427748,789,676,298
2019,4,0427776,797,660,1014
2019,4,0429350,815,689,314
2019,4,0429354,788,618,288
2019,4,0429358,783,561,107
2019,4,0429386,833,713,337
2019,4,0429392,790,616,529
2019,4,0440242,692,583,154
2019,4,0440246,677,559,138
2019,4,0440250,685,561,409
2019,4,0440252,659,511,214
2019,4,0440260,758,609,713
2019,4,0440262,720,617,382
2019,4,0440264,731,609,441
2019,4,0440268,848,729,396
2019,4,0440270,589,508,245
2019,4,0440272,759,622,285
2019,4,0440274,740,618,2069
2019,4,0440276,801,668,206
2019,4,0440284,700,568,184
2019,4,0440286,588,504,377
2019,4,0440288,656,534,331
2019,4,0440292,669,536,286
2019,4,0440294,808,659,257
2019,4,0440296,662,551,151
2019,4,0440298,785,601,534
2019,4,0440807,792,609,887
2019,4,0440815,614,510,205
2019,4,0440835,770,513,103
2019,4,0440844,732,570,307
2019,4,0440854,757,645,181
2019,4,0440856,648,491,251
2019,4,0440880,809,629,334
2019,4,0440890,712,586,278
2019,4,0460201,980,807,4669
2019,4,0460242,865,733,369
2019,4,0460246,879,735,1235
2019,4,0460252,901,778,796
2019,4,0460254,767,656,369
2019,4,0460260,826,723,337
2019,4,0460268,848,743,419
2019,4,0460272,872,664,530
2019,4,0460280,837,741,288
2019,4,0460284,885,798,385
2019,4,0460298,782,618,183
2019,4,0460805,854,684,1002
2019,4,0460825,838,699,297
2019,4,0460850,806,672,661
2019,4,0460864,931,742,152
2019,4,0460876,766,662,195
2019,4,0460890,695,564,107
2019,4,0460894,715,610,344
2019,4,0468944,743,609,403
2019,4,0468956,760,645,210
2019,4,0468988,928,768,911
2019,4,0500201,836,702,3570
2019,4,0500244,765,642,585
2019,4,0500248,751,605,428
2019,4,0500252,791,707,201
2019,4,0500256,744,639,255
2019,4,0500260,842,671,435
2019,4,0500264,825,681,629
2019,4,0500268,798,694,276
2019,4,0500272,852,743,650
2019,4,0500276,756,595,151
2019,4,0500284,824,693,567
2019,4,0500288,732,624,407
2019,4,0500290,795,658,727
2019,4,0500294,758,664,365
2019,4,0540248,809,699,872
2019,4,0540252,856,704,1313
2019,4,0540256,921,735,1305
2019,4,0540258,859,746,891
2019,4,0540260,905,721,359
2019,4,0540262,883,719,950
2019,4,0540270,821,698,692
2019,4,0540274,819,714,646
2019,4,0540282,932,746,834
2019,4,0540286,1007,778,830
2019,4,0540290,793,671,605
2019,4,0540292,794,674,602
2019,4,0540296,856,683,644
2019,4,0546744,1006,782,2167
2019,4,0546766,1261,908,1942
2019,4,0546778,883,704,725
2019,4,0560248,974,678,367
2019,4,0560252,747,617,195
2019,4,0560254,745,602,181
2019,4,0560266,726,620,215
2019,4,0560274,776,657,176
2019,4,0560282,738,581,299
2019,4,0560298,710,570,320
2019,4,0560805,932,746,497
2019,4,0560825,864,680,155
2019,4,0560844,748,574,144
2019,4,0560862,849,772,271
2019,4,0561815,809,667,659
2019,4,0561835,807,626,235
2019,4,0561858,763,603,158
2019,4,0561880,860,658,196
2019,4,0561888,696,551,218
2019,4,0566946,718,574,238
2019,4,0566968,847,690,372
2019,4,0566970,796,671,737
2019,4,0566976,710,596,229
2019,4,0566994,816,720,454
2019,4,0566996,703,591,248
2019,4,0568786,829,730,1226
2019,4,0568790,776,692,270
2019,4,0600201,730,581,3257
2019,4,0600248,780,612,132
2019,4,0600262,712,513,239
2019,4,0600264,736,622,209
2019,4,0600268,663,476,183
2019,4,0600270,672,568,144
2019,4,0600274,769,602,156
2019,4,0600278,815,641,137
2019,4,0600284,611,461,123
2019,4,0600286,597,488,261
2019,4,0600288,621,499,168
2019,4,0600296,657,518,383
2019,4,0601009,792,660,815
2019,4,0601042,659,539,327
2019,4,0601044,611,489,158
2019,4,0601046,671,496,143
2019,4,0601050,569,479,84
2019,4,0601054,725,564,216
2019,4,0601056,770,541,220
2019,4,0601076,637,500,130
2019,4,0601080,594,475,42
2019,4,0601090,579,498,88
2019,4,0601092,654,513,146
2019,4,0604342,751,586,651
2019,4,0604358,559,483,115
2019,4,0604372,639,541,214
2019,4,0604394,661,517,164
2019,4,0620201,812,654,4914
2019,4,0620246,711,556,312
2019,4,0620250,693,581,173
2019,4,0620254,790,651,141
2019,4,0620258,735,576,246
2019,4,0620260,772,610,839
2019,4,0620264,745,594,386
2019,4,0620272,706,559,455
2019,4,0620274,775,664,490
2019,4,0620280,792,615,341
2019,4,0620284,785,654,648
2019,4,0620290,754,600,277
2019,4,0620292,702,598,322
2019,4,0620296,743,609,400
2019,4,0621209,802,642,822
2019,4,0621229,721,617,368
2019,4,0621268,654,504,193
2019,4,0621278,823,640,148
2019,4,0621282,718,616,319
2019,4,0624200,820,685,553
2019,4,0640605,826,652,1891
2019,4,0640642,788,636,312
2019,4,0640648,815,624,387
2019,4,0640666,782,630,275
2019,4,0640668,719,569,459
2019,4,0640672,737,540,192
2019,4,0640807,826,693,228
2019,4,0640827,796,652,146
2019,4,0640850,874,700,264
2019,4,0640888,819,646,358
2019,4,0640894,747,624,161
2019,4,0641009,951,786,1773
2019,4,0641044,804,711,244
2019,4,0641056,818,706,298
2019,4,0641060,840,685,966
2019,4,0641076,903,766,584
2019,4,0641413,889,654,429
2019,4,0641486,924,510,177
2019,4,0641496,837,676,540
2019,4,0641615,787,656,890
2019,4,0641646,765,655,287
2019,4,0641658,765,638,223
2019,4,0641664,675,550,241
2019,4,0641682,790,662,188
2019,4,0641698,748,659,322
2019,4,0647978,913,681,1154
2019,4,0647980,855,668,304
2019,4,0648552,788,577,202
2019,4,0648584,714,564,367
2019,4,0649354,797,577,131
2019,4,0649392,790,639,847
2019,4,0660201,867,725,3416
2019,4,0660252,843,670,466
2019,4,0660264,801,674,946
2019,4,0660268,775,617,276
2019,4,0660276,931,741,1000
2019,4,0660280,828,659,439
2019,4,0660284,833,678,610
2019,4,0660288,774,667,498
2019,4,0661007,866,724,494
2019,4,0661017,789,699,372
2019,4,0661027,744,663,277
2019,4,0661037,702,584,176
2019,4,0661044,702,558,235
2019,4,0661048,791,648,376
2019,4,0661405,868,804,339
2019,4,0661415,912,757,1273
2019,4,0661425,822,760,177
2019,4,0661435,813,674,832
2019,4,0661460,869,678,756
2019,4,0680201,787,652,3355
2019,4,0680246,544,457,159
2019,4,0680250,740,598,220
2019,4,0680258,708,555,376
2019,4,0680260,669,530,129
2019,4,0680278,700,605,113
2019,4,0680280,642,465,144
2019,4,0680286,627,507,202
2019,4,0680288,732,653,91
2019,4,0680292,642,536,103
2019,4,0681009,734,608,793
2019,4,0681054,506,449,101
2019,4,0681068,702,581,423
2019,4,0681070,772,635,325
2019,4,0681072,738,634,219
2019,4,0681094,672,525,215
2019,4,0681817,680,532,583
2019,4,0681864,539,487,83
2019,4,0681884,573,476,187
2019,4,0681896,567,452,156
2019,4,0684944,676,533,142
2019,4,0684948,714,569,278
2019,4,0684966,602,535,89
2019,4,0684990,698,600,192
2019,4,0684998,777,630,241
2019,4,0700201,881,742,3321
2019,4,0700242,791,641,538
2019,4,0700244,760,612,510
2019,4,0700246,826,692,664
2019,4,0700250,786,676,473
2019,4,0700262,875,749,751
2019,4,0700266,877,756,285
2019,4,0700268,769,617,454
2019,4,0700270,753,633,524
2019,4,0700274,698,565,347
2019,4,0700276,693,570,236
2019,4,0700282,728,606,340
2019,4,0700286,812,689,620
2019,4,0700290,814,716,565
